id,rank,symbol,name,supply,maxSupply,priceUsd,changePercent24Hr,explorer
bitcoin,1,BTC,Bitcoin,19749606.0,21000000.0,58002.49,-0.28,https://blockchain.info/
ethereum,2,ETH,Ethereum,120312883.01,,2451.5,-0.36,https://etherscan.io/
tether,3,USDT,Tether,118142287334.84,,1.0,0.02,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0,166801148.0,510.1,-2.91,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,466818154.66,,133.09,1.28,https://explorer.solana.com/
usd-coin,6,USDC,USDC,34855910966.3,,1.0,-0.0,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,7,XRP,XRP,45404028640.0,100000000000.0,0.56,-1.63,https://xrpcharts.ripple.com/#/graph/
steth,8,STETH,Lido Staked ETH,9807230.64,,2445.58,-0.48,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84
dogecoin,9,DOGE,Dogecoin,145820426383.71,,0.1,0.04,http://dogechain.info/chain/Dogecoin
tron,10,TRX,TRON,86747926181.21,,0.15,-1.02,https://tronscan.org/#/
cardano,11,ADA,Cardano,35960643044.11,45000000000.0,0.32,-0.89,https://cardanoexplorer.com/
wrapped-bitcoin,12,WBTC,Wrapped Bitcoin,153437.11,,57931.52,-0.28,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
avalanche,13,AVAX,Avalanche,405184139.16,715748719.0,21.89,0.6,https://avascan.info/
shiba-inu,14,SHIB,Shiba Inu,589269842135503.2,,0.0,0.66,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
chainlink,15,LINK,Chainlink,608099970.45,,10.31,-1.12,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
bitcoin-cash,16,BCH,Bitcoin Cash,19756268.75,21000000.0,315.12,0.24,https://blockchair.com/bitcoin-cash/blocks
polkadot,17,DOT,Polkadot,1408616915.68,,4.13,0.06,https://polkascan.io/polkadot
multi-collateral-dai,18,DAI,Multi Collateral DAI,5365382702.66,,1.0,0.18,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
unus-sed-leo,19,LEO,UNUS SED LEO,925566145.9,,5.72,-2.86,https://eospark.com/account/bitfinexleo1
litecoin,20,LTC,Litecoin,74937849.86,84000000.0,65.64,0.23,http://explorer.litecoin.net/chain/Litecoin
near-protocol,21,NEAR,NEAR Protocol,1121947403.0,,3.84,1.06,https://explorer.nearprotocol.com/
uniswap,22,UNI,Uniswap,600126149.71,,6.43,4.97,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
internet-computer,23,ICP,Internet Computer,469378670.91,,7.57,4.07,https://www.dfinityexplorer.org/#/
monero,24,XMR,Monero,18446744.07,,173.7,0.12,http://moneroblocks.info/
fetch,25,FET,Artificial Superintelligence Alliance,2520000000.0,2630547141.0,1.14,-0.56,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
stellar,26,XLM,Stellar,29536101856.82,50001806812.0,0.09,-0.4,https://dashboard.stellar.org/
ethereum-classic,27,ETC,Ethereum Classic,148607558.4,210700000.0,18.01,1.0,http://gastracker.io/
okb,28,OKB,OKB,60000000.0,,36.61,1.12,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
stacks,29,STX,Stacks,1484749741.06,1818000000.0,1.46,1.01,https://explorer.xinfin.network/
aave,30,AAVE,Aave,14927907.62,,135.68,11.14,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
crypto-com-coin,31,CRO,Crypto.com Coin,25263013692.0,30263013692.0,0.08,-0.61,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
filecoin,32,FIL,Filecoin,583298187.0,,3.39,-0.55,https://protocol.ai
polygon,33,MATIC,Polygon,4702405924.57,,0.38,-5.31,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
vechain,34,VET,VeChain,80985041177.0,86712634466.0,0.02,1.18,https://explore.veforge.com/
maker,35,MKR,Maker,930649.6,1005577.0,1672.43,-1.28,https://etherscan.io/token/Maker
arweave,36,AR,Arweave,65652466.0,66000000.0,21.21,1.55,https://viewblock.io/arweave
the-graph,37,GRT,The Graph,9548531509.17,,0.14,1.0,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
